ATTRACTIONID,FOODID,DISTANCE
1,194,25.384
1,195,21.076
1,196,2.362
1,197,17.665
1,198,17.367
1,199,3.213
1,200,19.802
2,176,15.664
2,177,16.891
2,178,16.891
2,179,16.8
2,180,17.589
2,181,13.849
2,182,3.267
2,183,15.299
2,184,15.299
2,185,21.919
2,186,26.694
2,187,22.257
2,188,10.095
2,189,10.095
2,190,1.892
2,191,14.865
2,192,4.964
2,193,3.568
2,194,27.796
2,195,27.332
2,196,1.532
2,197,15.441
2,198,15.143
2,199,5.555
2,200,19.716
3,176,17.41
3,177,13.783
3,178,13.783
3,179,13.692
3,180,14.481
3,181,17.989
3,182,6.482
3,183,19.112
3,184,19.112
3,185,18.811
3,186,30.789
3,187,24.003
3,188,6.987
3,189,6.987
3,190,5.251
3,191,21.193
3,192,2.009
3,193,2.123
3,194,29.542
3,195,21.53
3,196,6.017
3,197,21.823
3,198,21.526
3,199,7.918
3,200,26.155
4,176,15.86
4,177,16.013
4,178,16.013
4,179,15.922
4,180,16.711
4,181,14.577
4,182,5.574
4,183,16.027
4,184,16.027
4,185,21.041
4,186,29.238
4,187,22.452
4,188,9.217
4,189,9.217
4,190,2.971
4,191,15.593
4,192,3.035
4,193,2.401
4,194,27.991
4,195,23.761
4,196,2.237
4,197,16.169
4,198,15.871
4,199,6.367
4,200,20.389
1,201,19.27
1,202,4.838
1,203,2.254
1,204,3.28
1,205,22.881
1,206,10.352
1,207,19.407
1,208,14.722
1,209,23.693
1,210,10.492
1,211,19.351
1,212,15.607
1,213,22.491
1,214,13.287
1,215,24.075
1,216,4.076
1,217,22.036
1,218,22.036
1,219,1.989
1,220,17.574
1,221,17.589
1,222,3.847
1,223,8.036
1,224,9.733
1,225,19.059
2,201,19.184
2,202,4.936
2,203,2.93
2,204,5.735
2,205,25.293
2,206,9.523
2,207,25.663
2,208,20.992
2,209,26.105
2,210,12.904
2,211,21.763
2,212,15.494
2,213,24.903
2,214,13.784
2,215,23.543
2,216,3.962
2,217,20.038
2,218,20.038
2,219,1.825
2,220,15.35
2,221,15.365
2,222,3.703
2,223,7.207
2,224,12.145
2,225,25.315
3,201,25.623
3,202,1.85
3,203,6.679
3,204,8.098
3,205,27.039
3,206,6.958
3,207,26.443
3,208,18.88
3,209,27.852
3,210,14.65
3,211,23.509
3,212,21.822
3,213,26.649
3,214,10.676
3,215,20.435
3,216,8.446
3,217,26.195
3,218,26.195
3,219,6.074
3,220,21.732
3,221,21.747
3,222,2.533
3,223,5.013
3,224,13.892
3,225,25.122
4,201,19.857
4,202,3.776
4,203,5.147
4,204,6.547
4,205,25.489
4,206,7.455
4,207,26.391
4,208,17.33
4,209,26.301
4,210,13.099
4,211,21.959
4,212,16.222
4,213,25.098
4,214,12.906
4,215,22.665
4,216,4.69
4,217,20.767
4,218,20.767
4,219,4.132
4,220,16.078
4,221,16.093
4,222,3.158
4,223,5.139
4,224,12.341
4,225,26.043
1,226,8.274
1,227,10.198
1,228,1.411
1,229,21.568
1,230,2.592
2,226,11.439
2,227,6.488
2,228,1.71
2,229,23.98
2,230,4.313
3,226,12.432
3,227,14.357
3,228,5.783
3,229,25.726
3,230,8.35
4,226,10.882
4,227,7.216
4,228,2.701
4,229,24.175
4,230,6.799
5,1,11.581
5,2,1.433
5,3,16.376
5,4,2.925
5,5,7.839
5,6,15.261
5,7,13.682
5,8,9.217
5,9,12.513
5,10,14.322
5,11,14.322
5,12,14.322
5,13,10.332
5,14,9.047
5,15,2.564
5,16,1.581
5,17,5.635
5,18,7.722
5,19,6.478
5,20,13.468
5,21,16.479
5,22,17.487
5,23,9.088
5,24,2.296
5,25,2.712
6,1,11.6
6,2,5.362
6,3,12.696
6,4,5.633
6,5,1.009
6,6,16.9
6,7,10.966
6,8,17.537
6,9,5.545
6,10,10.642
6,11,10.642
6,12,10.642
6,13,14.71
6,14,2.996
6,15,3.503
6,16,5.509
6,17,3.509
6,18,1.08
6,19,13.055
6,20,10.753
6,21,13.763
6,22,26.988
6,23,16.05
6,24,5.557
6,25,5.429
7,1,11.241
7,2,10.262
7,3,25.199
7,4,11.397
7,5,16.662
7,6,7.744
7,7,25.575
7,8,8.876
7,9,21.337
7,10,23.146
7,11,23.146
7,12,23.146
7,13,5.726
7,14,17.87
7,15,11.532
7,16,10.409
7,17,16.46
